Parm Code	Name
10073	Neph B sp-450 nm
10996	VoltNDIR
10998	3-Methyl-1-Butene And Cyclopentene (ppbV)
10999	2-Methylhexane And 2-3-Dimethylpentane
11068	NOZ
11069	Neph Zero Set
11070	Neph Span Set
11071	Neph RH
11072	Neph Cell Temp
11073	Neph B sp-520 nm
11074	Neph Air Temp
11075	Neph  Vis-km
11076	Neph  Vis-miles
11094	Hydrogen Sulfide + Sulfur Dioxide
11100	Total Suspended Particulate (Lc)
11101	Suspended Particulate (Tsp)
11103	Benzene Soluble Organics (Tsp)
11201	Soil Index (COH)
11203	Light Scatter
11302	Beta Radiation (Tsp)
12101	Aluminum (Tsp) Stp
12102	Antimony (Tsp) Stp
12103	Arsenic (Tsp) Stp
12107	Barium (Tsp) Stp
12110	Cadmium (Tsp) Stp
12111	Calcium (Tsp) Stp
12112	Chromium (Tsp) Stp
12113	Cobalt (Tsp) Stp
12114	Copper (Tsp) Stp
12115	Chromium VI (Tsp) Stp
12125	Germanium (Tsp) Stp
12126	Iron (Tsp) Stp
12128	Lead (Tsp) Stp
12132	Manganese (Tsp) Stp
12134	Molybdenum (Tsp) Stp
12136	Nickel (Tsp) Stp
12146	Lanthanum (Tsp) Stp
12152	Phosphorus (Tsp) Stp
12154	Selenium (Tsp) Stp
12160	Tin (Tsp) Stp
12161	Titanium (Tsp) Stp
12164	Vanadium (Tsp) Stp
12165	Silicon (Tsp) Stp
12167	Zinc (Tsp) Stp
12168	Strontium (Tsp) Stp
12169	Sulfur (Tsp) Stp
12173	Thallium (Tsp) Stp
12176	Rubidium (Tsp) Stp
12180	Potassium (Tsp) Stp
12183	Yttrium (Tsp) Stp
12185	Zirconium (Tsp) Stp
12201	Bromide (Tsp) Stp
12202	Fluoride (Tsp) Stp
12203	Chloride (Tsp) Stp
12204	Iodide (Tsp) Stp
12301	Ammonium (Tsp) Stp
12306	Nitrate (Tsp) Stp
12403	Sulfate (Tsp) Stp
14112	Chromium (Tsp) Lc
14129	Lead (Tsp) Lc Frm/Fem
14136	Nickel (Tsp) Lc
16521	Methyl Isoamyl Ketone
16732	2,3,4,6-Tetrachlorophenol (Tsp) Stp
16733	2,4,5-Trichlorophenol (Tsp) Stp
16734	2,4,6-Trichlorophenol (Tsp) Stp
16735	2,4-Dichlorophenol (Tsp) Stp
16739	2,6-Dichlorophenol (Tsp) Stp
16754	4-Chloro-3-Methylphenol  (Tsp) Stp
17141	Naphthalene (Tsp) Stp
17147	Acenaphthene (Tsp) Stp
17148	Acenaphthylene (Tsp) Stp
17149	Fluorene (Tsp) Stp
17150	Phenanthrene (Tsp) Stp
17151	Anthracene (Tsp) Stp
17201	Fluoranthene (Tsp) Stp
17204	Pyrene (Tsp) Stp
17208	Chrysene (Tsp) Stp
17215	Benzo[a]Anthracene (Tsp) Stp
17220	Benzo[b]Fluoranthene (Tsp) Stp
17223	Benzo[k]Fluoranthene (Tsp) Stp
17225	Benzo[b,k]Fluoranthene (Tsp) Stp
17231	Dibenzo[a,h]Anthracene (Tsp) Stp
17237	Benzo[g,h,i]Perylene (Tsp) Stp
17242	Benzo[a]Pyrene (Tsp) Stp
17243	Indeno[1,2,3-cd]Pyrene (Tsp) Stp
42101	Carbon Monoxide
42153	Carbon Disulfide
42269	Total Sulfur
42300	Water (Vapor)
42401	Sulfur Dioxide
42402	Hydrogen Sulfide
42600	Reactive Oxides Of Nitrogen (NOy)
42601	Nitric Oxide (NO)
42602	Nitrogen Dioxide (NO2)
42603	Oxides Of Nitrogen (NOX)
42605	Nitrous Oxide
43000	Sum of PAMS Target Compounds
43101	Total Hydrocarbons
43102	Total NMOC
43134	1,1-bis(4-Chlorophenyl)-2,2-Dichloroethane
43137	Lindane
43138	1,2,3,4,5,6- Hexachlorocyclohexane
43139	1,2,3,4,5,6- Hexachlolocyclohexane, .beta.-
43140	1,2,3,4,5,6- Hexachlorocyclohexane, .delta.-
43141	n-Dodecane
43148	cis/trans-2-Butene
43151	Heptachlor Epoxide
43152	Endrin Ketone
43153	Methoxychlor
43159	Aldrin
43162	1,1,1-Trichloro-2,2-bis (P-Chlorophenyl) Ethane
43163	Endosulfan 2
43164	Endrin
43165	Dieldrin
43166	1,1-Dichloroethenylidene bis(4-Chlorobenzene)
43168	Endosulfan Sulfate
43170	Heptachlor
43173	1-Hexene & 2-Methyl-1-Pentene
43175	Endosulfan 1 (Alpha)
43201	Methane
43202	Ethane
43203	Ethylene
43204	Propane
43205	Propylene
43206	Acetylene
43209	Ethyl Acetate
43212	n-Butane
43214	Isobutane
43216	trans-2-Butene
43217	cis-2-Butene
43218	1,3-Butadiene
43220	n-Pentane
43221	Isopentane
43224	1-Pentene
43226	trans-2-Pentene
43227	cis-2-Pentene
43228	2-Methyl-2-Butene
43230	3-Methylpentane
43231	n-Hexane
43232	n-Heptane
43233	n-Octane
43234	4-Methyl-1-Pentene
43235	n-Nonane
43238	n-Decane
43242	Cyclopentane
43243	Isoprene
43244	2,2-Dimethylbutane
43245	1-Hexene
43246	2-Methyl-1-Pentene
43247	2,4-Dimethylpentane
43248	Cyclohexane
43249	3-Methylhexane
43250	2,2,4-Trimethylpentane
43252	2,3,4-Trimethylpentane
43253	3-Methylheptane
43256	alpha-Pinene
43257	beta-Pinene
43261	Methylcyclohexane
43262	Methylcyclopentane
43263	2-Methylhexane
43270	Isobutene
43280	1-Butene
43282	3-Methyl-1-Butene
43283	Cyclopentene
43284	2,3-Dimethylbutane
43285	2-Methylpentane
43289	trans-2-Hexene
43290	cis-2-Hexene
43291	2,3-Dimethylpentane
43302	Ethyl Alcohol
43303	n-Propyl Alcohol
43305	n-Butyl Alcohol
43307	n-Amyl Alcohol
43312	2-Proponol
43328	1-Heptene
43331	2-Chloropentane
43344	1-Hexanol
43372	Methyl Tert-Butyl Ether
43434	n-Propyl Acetate
43502	Formaldehyde
43503	Acetaldehyde
43504	Propionaldehyde
43505	Acrolein - Unverified
43509	Acrolein - Verified
43510	Butyraldehyde
43511	Hexanal
43512	Isobutyraldehyde
43513	Isovaleraldehyde
43514	Butyl Acetate
43515	Methacrolein
43516	trans-Crotonaldehyde
43517	Hexanaldehyde
43518	Valeraldehyde
43528	Crotonaldehyde
43549	Methyl Ethyl Ketone & Methacrolein
43551	Acetone
43552	Methyl Ethyl Ketone
43553	3-Pentanone
43557	3-Hexanone
43559	Methyl Butyl Ketone
43560	Methyl Isobutyl Ketone
43563	3-Heptanone
43564	2-Methyl-3-Hexanone
43801	Chloromethane
43802	Dichloromethane
43803	Chloroform
43804	Carbon Tetrachloride
43811	Trichlorofluoromethane
43813	1,1-Dichloroethane
43814	Methyl Chloroform
43815	Ethylene Dichloride
43817	Tetrachloroethylene
43818	1,1,2,2-Tetrachloroethane
43819	Bromomethane
43820	1,1,2-Trichloroethane
43823	Dichlorodifluoromethane
43824	Trichloroethylene
43826	1,1-Dichloroethylene
43829	1,2-Dichloropropane
43830	trans-1,3-Dichloropropene
