AQS Code	CAMS	TCEQ Region	Reg#	EPA Reg	Site Name	Street Address	Urban Area	Latitude	Longitude	Elevation	Timezone	Params	Activation Date	Deactivation Date	Maintained By	Owned By
480010647	0647	TYLER	05	N	Palestine C647	1278 Acr 421 	TYLER, TX	31.7794440	-95.7058330	122.0	CENTRAL		26-Jul-2005	25-Oct-2006	Unknown	University of Texas at Austin
480055013	5013	BEAUMONT	10	N	Lufkin KLFK	Angelina County Airport 		31.2338890	-94.7500000	85.0	CENTRAL		02-Sep-2005	05-Oct-2020	National Weather Service	National Weather Service
480131090	1090	SAN ANTONIO	13	Y	Von Ormy Highway 16	17534 North State Highway 16 	SAN ANTONIO, TX	29.1628919	-98.5891232		CENTRAL	8	29-May-2020		TCEQ	TCEQ
480210684	0684	AUSTIN	11	N	McKinney Roughs	1884 State Hwy 71 W 		30.1408770	-97.4588971	158.0	CENTRAL		16-Aug-2006	28-Nov-2018	Dios Dado Environmental	Capital Area Council of Governments
480211612	1612	AUSTIN	11	N	CAPCOG Bastrop	25 American Legion Drive 		30.1082220	-97.2937410	525.0	CENTRAL	10	25-Feb-2019		Weston Solutions	Capital Area Council of Governments
480211613	1613	AUSTIN	11	N	CAPCOG Elgin	900 E 2nd Street 		30.3478080	-97.3785080	580.0	CENTRAL	9	25-Feb-2019		Weston Solutions	Capital Area Council of Governments
480250001		CORPUS CHRISTI	14	Y	AC Jones High School	AC Jones High School 	NOT IN AN URBAN AREA	28.4188890	-97.7525000	65.0	CENTRAL		01-Jan-1975	30-Jun-1980	TCEQ	TCEQ
480250641	0641	CORPUS CHRISTI	14	N	Beeville	3201 US Hwy 59 W 		28.3597220	-97.7900000	73.0	CENTRAL		26-Jul-2005	18-Oct-2006	Air Quality Solutions	University of Texas at Austin
480270001		WACO	09	Y	Draughton Miller Airport	7800 Airport Rd &#x28;Draughon Miller Airport&#x29; 	TEMPLE, TX	31.1566670	-97.4083330	211.0	CENTRAL		20-Sep-1990	30-Dec-1996	TCEQ	TCEQ
480270651	0651	WACO	09	N	TEMPLE C651	8071 Hwy 95 	TEMPLE, TX	30.9975000	-97.3394440	146.0	CENTRAL		31-Jul-2005	07-Nov-2006	Air Quality Solutions	University of Texas at Austin
480271045	1045	WACO	09	Y	Temple Georgia	8406 Georgia Avenue 	TEMPLE, TX	31.1224373	-97.4310538	186.2	CENTRAL	9	04-Oct-2013		TCEQ	TCEQ
480271047	1047	WACO	09	Y	Killeen Skylark Field	1605 Stone Tree Drive 	KILLEEN, TX	31.0880026	-97.6797453	249.7	CENTRAL	11	11-Jun-2009		TCEQ	TCEQ
480290001		SAN ANTONIO	13	Y	Calveras State Park	Barnhardt Rd &#x28;Calaveras State Park&#x29; 	NOT IN AN URBAN AREA	29.2819440	-98.2958330	155.0	CENTRAL		01-Jan-1977	31-Dec-1981	TCEQ	TCEQ
480290002		SAN ANTONIO	13	Y	Camp Bullis - TACB&#x2f;SAMHD	Camp Bullis 	NOT IN AN URBAN AREA	0	0	155.0	CENTRAL		01-Jan-1981	31-Dec-1982	San Antonio Metropolitan Health District	San Antonio Metropolitan Health District
480290003		SAN ANTONIO	13	Y	San Antonio	San Antonio 	NOT IN AN URBAN AREA	29.6419440	-98.4186110	197.0	CENTRAL		01-Jan-1968	31-Dec-1969	San Antonio Metropolitan Health District	San Antonio Metropolitan Health District
480290004		SAN ANTONIO	13	Y	Culebra Road	Residence on Culebra Rd 	NOT IN AN URBAN AREA	29.5200000	-98.8027780	215.0	CENTRAL		01-Jan-1968	31-Dec-1969	San Antonio Metropolitan Health District	San Antonio Metropolitan Health District
480290005		SAN ANTONIO	13	Y	Oak Hills Country Club	Fredericksburg Rd &#x28;Oak Hills Country Club&#x29; 	NOT IN AN URBAN AREA	29.5061110	-98.5702780	214.0	CENTRAL		01-Jan-1968	30-Jun-1980	San Antonio Metropolitan Health District	San Antonio Metropolitan Health District
480290006		SAN ANTONIO	13	Y	Cadillac Drive Water Pump Station	Cadillac Dr &#x28;Water Pump Station&#x29; 	NOT IN AN URBAN AREA	29.5719440	-98.5252780	215.0	CENTRAL		01-Jan-1968	31-Dec-1969	San Antonio Metropolitan Health District	San Antonio Metropolitan Health District
480290007		SAN ANTONIO	13	Y	San Antonio City Service Center	City Service Center &#x28;behind Airport&#x29; 	NOT IN AN URBAN AREA	29.5208330	-98.4777780	215.0	CENTRAL		01-Jan-1968	31-Dec-1969	San Antonio Metropolitan Health District	San Antonio Metropolitan Health District
480290008		SAN ANTONIO	13	Y	Newport	127 Newport 	NOT IN AN URBAN AREA	29.5208330	-98.4777780	224.0	CENTRAL		01-Jan-1968	31-Dec-1974	San Antonio Metropolitan Health District	San Antonio Metropolitan Health District
480290009		SAN ANTONIO	13	Y	SARA Sewage Treatment Plant	SA River Authority Sewage Treatment Plan 	NOT IN AN URBAN AREA	29.5111110	-98.2919440	213.0	CENTRAL		01-Jan-1968	31-Dec-1969	San Antonio Metropolitan Health District	San Antonio Metropolitan Health District
480290011		SAN ANTONIO	13	Y	Lackland City Spring	Lackland City Spring &#x28;Water Pump Station&#x29; 	NOT IN AN URBAN AREA	29.3855560	-98.6383330	242.0	CENTRAL		01-Jan-1968	31-Dec-1969	San Antonio Metropolitan Health District	San Antonio Metropolitan Health District
480290012		SAN ANTONIO	13	Y	Hwy 90 Water Pump Station	855 Hwy 90W &#x28;Water Pump Station&#x29; 	NOT IN AN URBAN AREA	29.4236110	-98.5791670	215.0	CENTRAL		01-Jan-1968	31-Dec-1969	San Antonio Metropolitan Health District	San Antonio Metropolitan Health District
480290013		SAN ANTONIO	13	Y	Edison Dr Water Pump Station	1503 Edison Dr &#x28;Water Pump Station&#x29; 	NOT IN AN URBAN AREA	29.4708330	-98.5194440	215.0	CENTRAL		01-Jan-1968	31-Dec-1969	San Antonio Metropolitan Health District	San Antonio Metropolitan Health District
480290014		SAN ANTONIO	13	Y	Helotes Park Estates	Helotes Park Estates &#x28;Water Pump Station&#x29; 	NOT IN AN URBAN AREA	29.5616670	-98.6800000	215.0	CENTRAL		01-Jan-1968	31-Dec-1969	San Antonio Metropolitan Health District	San Antonio Metropolitan Health District
480290015		SAN ANTONIO	13	Y	Seale Road Water Pump Station	245 Seale Rd &#x28;Water Pump Station&#x29; 	NOT IN AN URBAN AREA	29.4444440	-98.4130560	215.0	CENTRAL		01-Jan-1968	31-Dec-1969	San Antonio Metropolitan Health District	San Antonio Metropolitan Health District
480290017		SAN ANTONIO	13	Y	Bexar Metro Water	Gilette &amp; Rhode Streets &#x28;Bexar Metro Water&#x29; 	NOT IN AN URBAN AREA	29.3275000	-98.5375000	204.0	CENTRAL		01-Jan-1968	31-Dec-1969	San Antonio Metropolitan Health District	San Antonio Metropolitan Health District
480290018		SAN ANTONIO	13	Y	New Braunfels Rd City Service Center	7401 S New Braunfels &#x28;City Service Cntr&#x29; 	NOT IN AN URBAN AREA	29.3525000	-98.4538890	215.0	CENTRAL		01-Jan-1968	31-Dec-1969	San Antonio Metropolitan Health District	San Antonio Metropolitan Health District
480290019		SAN ANTONIO	13	Y	Beck Road	Residence on Beck Rd 	NOT IN AN URBAN AREA	29.3650000	-98.3180560	215.0	CENTRAL		01-Jan-1968	31-Dec-1969	San Antonio Metropolitan Health District	San Antonio Metropolitan Health District
480290020		SAN ANTONIO	13	Y	Somerset Water Pump Station	Somerset Water Pump Station 	NOT IN AN URBAN AREA	29.2255560	-98.6666670	215.0	CENTRAL		01-Jan-1968	31-Dec-1969	San Antonio Metropolitan Health District	San Antonio Metropolitan Health District
480290021		SAN ANTONIO	13	Y	Braunig Lake Power Plant	Braunig Lake Power Plant 	NOT IN AN URBAN AREA	29.2666670	-98.3861110	160.0	CENTRAL		01-Jan-1968	31-Dec-1973	San Antonio Metropolitan Health District	San Antonio Metropolitan Health District
480290022		SAN ANTONIO	13	Y	San Antonio International Airport	139 Airport &#x28;International Airport&#x29; 	NOT IN AN URBAN AREA	29.5277780	-98.4744440	242.0	CENTRAL		01-Jan-1969	31-Dec-1983	San Antonio Metropolitan Health District	San Antonio Metropolitan Health District
480290023		SAN ANTONIO	13	Y	Hills and Dales Water Company	White Fawn Rd &#x28;Hills &amp; Dales Water Co&#x29; 	NOT IN AN URBAN AREA	29.5900000	-98.6411110	336.0	CENTRAL		01-Jan-1973	31-Dec-1973	San Antonio Metropolitan Health District	San Antonio Metropolitan Health District
480290024		SAN ANTONIO	13	Y	Flagle Street Water Pump Station	3939 Flagle St &#x28;City Water Pump Station&#x29; 	NOT IN AN URBAN AREA	29.4375000	-98.5644440	210.0	CENTRAL		01-Jan-1971	01-Jan-1981	San Antonio Metropolitan Health District	San Antonio Metropolitan Health District
480290026		SAN ANTONIO	13	Y	Southcross	2242 W Southcross 	NOT IN AN URBAN AREA	29.3677780	-98.5436110	200.0	CENTRAL		01-Jan-1971	30-Jun-1980	San Antonio Metropolitan Health District	San Antonio Metropolitan Health District
480290027		SAN ANTONIO	13	Y	Gembler Fire Station	919 Gembler &#x28;Fire Station&#x29; 	NOT IN AN URBAN AREA	29.4350000	-98.4161110	202.0	CENTRAL		01-Jan-1971	30-Jun-1980	San Antonio Metropolitan Health District	San Antonio Metropolitan Health District
480290029		SAN ANTONIO	13	Y	Walzem Pump Station	127 Newport &#x28;Walzem Pump Station&#x29; 	NOT IN AN URBAN AREA	29.5083330	-98.4033330	226.0	CENTRAL		01-Jan-1971	01-Jan-1973	San Antonio Metropolitan Health District	San Antonio Metropolitan Health District
480290032	0023	SAN ANTONIO	13	Y	San Antonio Northwest	6655 Bluebird Lane 	SAN ANTONIO, TX	29.5150623	-98.6202135		CENTRAL	19	01-Jul-1981		TCEQ	TCEQ
480290033		SAN ANTONIO	13	Y	New Braunfels Road	6502 S New Braunfels 	NOT IN AN URBAN AREA	29.3594440	-98.4488890	194.0	CENTRAL		01-Jan-1972	30-Jun-1980	San Antonio Metropolitan Health District	San Antonio Metropolitan Health District
480290034		SAN ANTONIO	13	Y	NW of Bowie &amp; Durange Streets Intersection	900 Blk E Durango 	SAN ANTONIO, TX	29.4152780	-98.4847220	198.0	CENTRAL		01-Jan-1972	07-Oct-1999	TCEQ	EPA/OAQPS/MQAG
480290035		SAN ANTONIO	13	Y	EPA-480290035	Institute of Texas Cultures-Hemisfair 	NOT IN AN URBAN AREA	29.4400000	-98.8247220	198.0	CENTRAL		01-Jan-1973	31-Dec-1976	US EPA - Region 9	US EPA - Region 9
480290036	0007	SAN ANTONIO	13	Y	San Antonio North	522 Pilgrim Dr 	SAN ANTONIO, TX	29.5047220	-98.5388890	221.0	CENTRAL		01-Sep-1972	11-Aug-1998	TCEQ	TCEQ
480290037		SAN ANTONIO	13	Y	Flagle Street	3939 Flagle St 	NOT IN AN URBAN AREA	29.4375000	-98.5644440	210.0	CENTRAL		01-Jan-1975	31-Dec-1976	San Antonio Metropolitan Health District	San Antonio Metropolitan Health District
480290038		SAN ANTONIO	13	Y	West Southcross	2242 W Southcross 	NOT IN AN URBAN AREA	29.3702780	-98.5458330	200.0	CENTRAL		01-Jan-1975	31-Dec-1980	San Antonio Metropolitan Health District	San Antonio Metropolitan Health District
